WhN,Material,MTyp,Material Description,SP,SR,SecIn,BSI,LE quantity,BUn,SUT,LE quantity,BUn,SUT,LE quantity,BUn,SUT,Text,Net Weight,WUn
703,5020006001,ROH,SLEEVE,,,,,,,,,,,,,,,,
703,5020005872,ROH,26ga 48x120T304S#4F/BP,,,,,,,,,,,,,,,,
703,5020005924,ROH,plug,,,,,,,,,,,,,,,,
703,5020005952,ROH,COVER,,,,,,,,,,,,,,,,
703,5020005955,ROH,GLASS,,,,,,,,,,,,,,,,
703,5020005978,ROH,PERFORATED STEEL,,,,,,,,,,,,,,,,
703,5020005781,ROH,COTTER PIN 1/16X1,53,***,1,,5,PC,C42,0,PC,,0,PC,,No,0,
703,5020005871,ROH,26GA 36x120 T304S PERF.050 HOLE,50,***,440,,500,PC,P04,500,PC,P04,500,PC,P04,No,0,
703,5020005971,ROH,SLEEVE,,,,,,,,,,,,,,,,
703,5020005759,ROH,WASHER 430 SS,53,53,1,,100,PC,C42,100,PC,C42,100,PC,C42,No,0,
703,5020005760,ROH,WASHER (NYLON),50,***,1,,15,PC,P04,0,PC,,0,PC,,No,0,
703,5020005779,ROH,RIVET 3/16X3/4 430 SS,0SV,***,1,,100,PC,P04,0,PC,,0,PC,,No,0,
703,5020005882,ROH,24ga 48x52.0 G30 HDG P-PTD BLK 2-S,50,***,1,,200,PC,P04,0,PC,,0,PC,,No,0,
703,5020005990,ROH,SWITCH,,,,,,,,,,,,,,,,
703,5020005767,ROH,WASHER,,,,,,,,,,,,,,,,
703,5020008099,ROH,Hinge,,,,,,,,,,,,,,,,
703,5020008125,HALB,Bracket,,,,,,,,,,,,,,,,
703,5020008145,ROH,Glass,,,,,,,,,,,,,,,,
703,5020009020,HALB,Panel,,,,,,,,,,,,,,,,
703,5020008126,HALB,Bracket,,,,,,,,,,,,,,,,
703,5020008131,HALB,Clip,,,,,,,,,,,,,,,,
703,5020006756,HALB,Channel,,,,,,,,,,,,,,,,
703,5020006919,ROH,Carton,,,,,,,,,,,,,,,,
703,5020008042,ROH,Hinge,,,,,,,,,,,,,,,,
703,5020008129,HALB,Bracket,,,,,,,,,,,,,,,,
703,5020008133,HALB,Clip,,,,,,,,,,,,,,,,
703,5020008164,HALB,Bracket,,,,,,,,,,,,,,,,
703,5020008336,HALB,Panel,,,,,,,,,,,,,,,,
703,5020006061,ROH,STUB,,,,,,,,,,,,,,,,
703,5020006075,ROH,BEARING PLATE ASSY,53,***,1,,200,PC,C42,200,PC,C42,200,PC,C42,No,0,
703,5020006150,ROH,BUBBLE WRAP,,,,,,,,,,,,,,,,
703,5020006195,ROH,GLASS,,,,,,,,,,,,,,,,
703,5020006242,ROH,FOAM CUSHIONING,50,***,440,,1.1,PC,P04,1.1,PC,P04,1.1,PC,P04,No,0,
703,5020006011,ROH,SUPPORT,,,,,,,,,,,,,,,,
703,5020006028,ROH,INSULATOR,,,,,,,,,,,,,,,,
703,5020006032,ROH,ACTUATOR,,,,,,,,,,,,,,,,
703,5020006127,ROH,CATCH,,,,,,,,,,,,,,,,
703,5020006207,ROH,TRANSFORMER,,,,,,,,,,,,,,,,
703,5020006920,ROH,Box,,,,,,,,,,,,,,,,
703,5020006750,ROH,Seal,,,,,,,,,,,,,,,,WUn
703,5020006770,HALB,Bracket,,,,,,,,,,,,,,,,
703,5020008124,HALB,"Door Liner 30""                          ",0SV,***,1,,500,PC,P04,0,PC,,0,PC,,No,0,
703,5020009283,ROH,Glass,,,,,,,,,,,,,,,,
703,5020009788,HALB,Frame W/A,,,,,,,,,,,,,,,,
703,5020009265,ROH,Blower,,,,,,,,,,,,,,,,
703,5020009267,ROH,Filter,,,,,,,,,,,,,,,,
703,5020009279,ROH,Glass,,,,,,,,,,,,,,,,
703,5020009736,ROH,Handle,,,,,,,,,,,,,,,,
703,5020009284,ROH,Glass,,,,,,,,,,,,,,,,
703,5020009290,ROH,Glass,,,,,,,,,,,,,,,,
703,5020009446,ROH,Spacer,,,,,,,,,,,,,,,,
703,5020008544,ROH,Label,,,,,,,,,,,,,,,,
703,5020008999,ROH,Handle,,,,,,,,,,,,,,,,
703,5020009069,HALB,Bottom Trim W/A 27 No finish,50,***,1,,250,PC,P04,0,PC,,0,PC,,No,0,
703,5020009084,HALB,Plate,,,,,,,,,,,,,,,,
703,5020009138,HALB,Bottom Trim W/A 27 Ptd Black,0SV,***,1,,100,PC,P04,0,PC,,0,PC,,No,0,
703,5020009194,ROH,Glass,,,,,,,,,,,,,,,,
703,5020009108,HALB,Bracket,,,,,,,,,,,,,,,,
703,5020009192,ROH,Glass,,,,,,,,,,,,,,,,
703,5020009193,ROH,Glass,,,,,,,,,,,,,,,,
703,5020009195,ROH,Glass,,,,,,,,,,,,,,,,
703,5020009070,HALB,Trim Body,,,,,,,,,,,,,,,,
703,5020009071,HALB,Base,,,,,,,,,,,,,,,,
703,5020009266,ROH,Blower,,,,,,,,,,,,,,,,
703,5020009269,ROH,Guide,,,,,,,,,,,,,,,,
703,5020009286,ROH,Glass,,,,,,,,,,,,,,,,
703,5020009289,ROH,Glass,,,,,,,,,,,,,,,,
703,5020009268,ROH,Manual,,,,,,,,,,,,,,,,
703,5020009773,ROH,Support Post,,,,,,,,,,,,,,,,
703,5020009270,ROH,Instructions,,,,,,,,,,,,,,,,
703,5020010491,ROH,Insulation,,,,,,,,,,,,,,,,
703,5020010487,ROH,Insulation,,,,,,,,,,,,,,,,
703,5020010489,ROH,Insulation,,,,,,,,,,,,,,,,
703,5020010575,ROH,Manual,,,,,,,,,,,,,,,,
703,5020010587,ROH,24ga 48.0 x 56.0 g(30) HDG P-PTD BLK 2-S,50,***,1,,500,PC,P04,0,PC,,0,PC,,No,0,
703,5020010393,HALB,Duct,,,,,,,,,,,,,,,,
701,5020010562,HALB,BAFFLE,,,,,,,,,,,,,,,,
703,5020010562,HALB,BAFFLE,,,,,,,,,,,,,,,,
703,5020010488,ROH,Insulation,,,,,,,,,,,,,,,,
703,5020010265,HALB,Housing,,,,,,,,,,,,,,,,
703,5020010266,HALB,Cover,,,,,,,,,,,,,,,,
701,5020009280,ROH,Glass,,,,,,,,,,,,,,,,
703,5020009280,ROH,Glass,,,,,,,,,,,,,,,,
703,5020009285,ROH,Glass,,,,,,,,,,,,,,,,
703,5020009830,ROH,Rubber Bumper W/ Metal Insert,53,***,1,,5,PC,P04,0,PC,,0,PC,,No,0,
701,9001268354,ROH,wire set 640UC Timelight and ZEO,,,,,,,,,,,,,,,,
703,5020010118,HALB,Support,,,,,,,,,,,,,,,,
703,5020010926,ROH,Plate,,,,,,,,,,,,,,,,
703,5020010927,ROH,PLATE,,,,,,,,,,,,,,,,
703,5020010929,ROH,PLATE,,,,,,,,,,,,,,,,
703,5020010917,ROH,Catch,,,,,,,,,,,,,,,,
703,5020010918,ROH,Cover,,,,,,,,,,,,,,,,G
703,5020010921,ROH,Plate,,,,,,,,,,,,,,,,
703,5020010922,ROH,Plate,,,,,,,,,,,,,,,,
703,5020010925,ROH,Plate,,,,,,,,,,,,,,,,
703,5020010911,ROH,Base,,,,,,,,,,,,,,,,
703,5020010923,ROH,Plate,,,,,,,,,,,,,,,,
703,5020010936,ROH,Trim,,,,,,,,,,,,,,,,
703,5020011044,ROH,BRACKET,,,,,,,,,,,,,,,,
703,5020010586,HALB,Drawer,,,,,,,,,,,,,,,,WUn
703,5020010655,HALB,Support,,,,,,,,,,,,,,,,
703,5020010824,ROH,Trim,,,,,,,,,,,,,,,,
703,5020010843,ROH,Trim,,,,,,,,,,,,,,,,
703,5020010893,ROH,Bracket,,,,,,,,,,,,,,,,
703,5020010894,ROH,Bracket,,,,,,,,,,,,,,,,
703,5020010900,ROH,Cover,,,,,,,,,,,,,,,,
703,5020010902,ROH,Duct,,,,,,,,,,,,,,,,
703,5020010676,HALB,Bracket,,,,,,,,,,,,,,,,
703,5020010892,ROH,Bracket,,,,,,,,,,,,,,,,
703,5020010895,ROH,Bracket,,,,,,,,,,,,,,,,
703,5020010907,ROH,Duct,,,,,,,,,,,,,,,,
703,5020010736,ROH,Insulation,,,,,,,,,,,,,,,,
703,5020010755,HALB,Plate,,,,,,,,,,,,,,,,
703,5020010772,HALB,Cover,,,,,,,,,,,,,,,,
703,5020010825,ROH,Trim,,,,,,,,,,,,,,,,
703,5020010841,ROH,Trim,,,,,,,,,,,,,,,,
703,5020010842,ROH,Trim,,,,,,,,,,,,,,,,
703,5020010844,ROH,Trim,,,,,,,,,,,,,,,,
703,5020011036,ROH,Blower,,,,,,,,,,,,,,,,
703,5020011043,ROH,BRACKET,,,,,,,,,,,,,,,,
703,5020010910,ROH,Base,,,,,,,,,,,,,,,,
703,5020011057,ROH,Frame W/A,,,,,,,,,,,,,,,,
703,5020011078,HALB,Door Liner W/A CM No Finish,50,***,1,,100,PC,P04,0,PC,,0,PC,,No,0,
703,5020011284,ROH,Trim,,,,,,,,,,,,,,,,
703,5020011287,ROH,Trim,,,,,,,,,,,,,,,,
703,5020011155,HALB,Support,,,,,,,,,,,,,,,,
703,5020011159,HALB,Cover,,,,,,,,,,,,,,,,
703,5040000028,ROH,DOOR,,,,,,,,,,,,,,,,
703,5040000029,ROH,DOOR,,,,,,,,,,,,,,,,
703,5020011289,ROH,Trim,,,,,,,,,,,,,,,,
703,5020011290,ROH,Trim,,,,,,,,,,,,,,,,
703,5020011295,ROH,Trim,,,,,,,,,,,,,,,,
703,5020011291,ROH,Trim,,,,,,,,,,,,,,,,
703,5020011294,ROH,Trim,,,,,,,,,,,,,,,,
703,5040000030,ROH,DOOR,,,,,,,,,,,,,,,,
703,5020011292,ROH,Trim,,,,,,,,,,,,,,,,
703,5020011293,ROH,Trim,,,,,,,,,,,,,,,,
703,5020011049,ROH,Bracket,,,,,,,,,,,,,,,,
703,5020011051,ROH,Cover,,,,,,,,,,,,,,,,
703,5020011060,ROH,Cover,,,,,,,,,,,,,,,,
703,5020011285,ROH,Trim,,,,,,,,,,,,,,,,
703,5020011288,ROH,Trim,,,,,,,,,,,,,,,,
703,5020011045,ROH,DUCT,,,,,,,,,,,,,,,,
703,5020011158,HALB,Cover,,,,,,,,,,,,,,,,
703,5020011165,ROH,Ball Stud,,,,,,,,,,,,,,,,
703,5020011286,ROH,Trim,,,,,,,,,,,,,,,,
703,5020011046,ROH,DUCT,,,,,,,,,,,,,,,,
703,5020011053,ROH,Cover,,,,,,,,,,,,,,,,
703,5020011091,ROH,Glass,,,,,,,,,,,,,,,,
703,5020011156,HALB,Support,,,,,,,,,,,,,,,,
703,5020011061,ROH,Cover,,,,,,,,,,,,,,,,
703,5020011065,ROH,Rear Panel,,,,,,,,,,,,,,,,
703,5020011092,ROH,Glass,,,,,,,,,,,,,,,,
703,5020011050,ROH,Cover,,,,,,,,,,,,,,,,
703,5040000390,ROH,SCREW 10x3/8 SMS AB PH PN ZNC,F01,***,1,,500,PC,P04,500,PC,P04,500,PC,P04,No,0,
703,5040000684,ROH,CATALYST,,,,,0,PC,,0,PC,,0,PC,,No,0,
703,5040000722,ROH,TIE,,,,,,,,,,,,,,,,
703,5040001021,ROH,BUBBLE WRAP,,,,,0,PC,,0,PC,,0,PC,,No,3,
703,5040000963,ROH,LAMP ASSY,,,,,,,,,,,,,,,,
703,5040001028,ROH,FOAM,,,,,,,,,,,,,,,,WUn
703,9001252400,ROH,Gas Tubing,,,,,,,,,,,,,,,,
703,5040001122,ROH,SCREW #6x3/8 PHL PN HD STD ZNC,53,***,1,,5,PC,C42,0,PC,,0,PC,,No,0,
703,5040001145,ROH,BAG,,,,,,,,,,,,,,,,
703,5040006372,ROH,CARTON,,,,,,,,,,,,,,,,
703,5040006640,ROH,COVER,,,,,,,,,,,,,,,,
703,9001252401,ROH,Gas Tubing,,,,,,,,,,,,,,,,
703,9001252402,ROH,Gas Tubing,,,,,,,,,,,,,,,,
703,5040007902,HALB,CHANNEL,,,,,,,,,,,,,,,,
703,5040007903,HALB,CHANNEL,,,,,,,,,,,,,,,,
703,5040007904,HALB,BRACKET,,,,,,,,,,,,,,,,
703,5040007946,HALB,BRACKET,,,,,,,,,,,,,,,,
703,9001252403,ROH,Gas Tubing,,,,,,,,,,,,,,,,
703,5040008082,HALB,BRACKET,,,,,,,,,,,,,,,,
703,5040008083,HALB,BRACKET,,,,,,,,,,,,,,,,
703,5040001435,ROH,Venturi,,,,,,,,,,,,,,,,
703,8001070807,ROH,CONTROL,,,,,,,,,,,,,,,,
703,5040001231,ROH,BAG,,,,,,,,,,,,,,,,
703,5060003400,ROH,Manual,,,,,,,,,,,,,,,,
703,5060003421,ROH,"Burner Base ""D"" Star Burner (RH)        ",0SV,***,1,,3,PC,P04,0,PC,,0,PC,,No,0,
703,5060003443,HALB,Frame,,,,,,,,,,,,,,,,
703,5060003376,ROH,22ga,,,,,,,,,,,,,,,,
703,5060003398,ROH,Instruction,,,,,,,,,,,,,,,,
703,5060003428,ROH,Element Harness NEM 93,50,50,1,,5,PC,P14,0,PC,,0,PC,,No,0,
703,5060001836,ROH,Screw #10 Green Grounding Hex Drive,52,52,1,,10,PC,P04,10,PC,P04,10,PC,P04,No,26,
703,5060001890,ROH,Antishort Bushing No. 4,51,51,1,,10,PC,P04,5,PC,P04,5,PC,P04,No,0,
703,5060001778,HALB,Frame external/Large Electronic Housing,0SV,***,1,,300,PC,P04,0,PC,,0,PC,,No,0,
703,5060001826,ROH,s043\7nt Tape,,,,,,,,,,,,,,,,
703,5060001828,ROH,Wire Connector(high temp),53,***,1,,50,PC,C42,50,PC,C42,50,PC,C42,No,0,
703,5060002388,ROH,Valve Assy 210 (8000),0SV,***,1,,5,PC,P04,5,PC,P04,5,PC,P04,No,0,
703,5060002417,ROH,Jet Holder Body,50,50,1,,72,PC,P14,0,PC,,0,PC,,No,0,
703,5060002424,ROH,Tubing,,,,,,,,,,,,,,,,
703,5060002381,ROH,"Burner Cap ""D"" Star Matte Blk           ",50,50,1,,5,PC,P14,0,PC,,0,PC,,No,0,
703,5060002438,ROH,Tubing,,,,,,,,,,,,,,,,
703,5060002459,ROH,Tubing LR SGS 45,50,50,1,,1,PC,P14,0,PC,,0,PC,,No,0,
703,5060002461,ROH,Vent Grill 30 Blk,50,***,440,,2,PC,P14,2,PC,P14,2,PC,P14,No,0,
703,5060002807,ROH,Brass Foot,,,,,,,,,,,,,,,,
703,5060003287,ROH,Element,,,,,,,,,,,,,,,,
703,5060003427,ROH,Power Harness NEM 93,50,50,1,,5.1,PC,P14,0,PC,,0,PC,,No,0,
703,5060003434,ROH,Glass,,,,,,,,,,,,,,,,
703,5060003325,ROH,Grate,,,,,,,,,,,,,,,,
703,5060001838,ROH,Connector,,,,,,,,,,,,,,,,
703,5060001882,ROH,"Glass Curved/Thermador CEP36""/Black     ",0SV,***,1,,125,PC,P04,125,PC,P04,125,PC,P04,No,0,
703,5060001784,ROH,Connector Main Terminal for CE,50,***,1,,7.2,PC,P04,0,PC,,0,PC,,No,0,
703,5060001881,ROH,"Glass Curved/Thermador CEP30""/Black     ",0SV,***,4,,75,PC,P14,0,PC,,0,PC,,No,0,
703,5060002465,ROH,Bezel SGS Blk,50,50,1,,10,PC,P14,0,PC,,0,PC,,No,0,
703,5060002444,ROH,Tubing LF SGS 30,50,50,1,,100,PC,P14,0,PC,,0,PC,,No,0,
703,5060002450,ROH,Tubing Valve to Sol (LR) SGSX 45,0SV,***,1,,1.5,PC,P04,1.5,PC,P04,1.5,PC,P04,No,0,
703,5060002453,ROH,Tubing CL SGS/X45,50,***,1,,1.5,PC,P04,0,PC,,0,PC,,No,0,
703,5060002454,ROH,Tubing CR SGS/X 45,50,50,1,,1,PC,P14,0,PC,,0,PC,,No,0,
703,5060002467,ROH,Bezel,,,,,,,,,,,,,,,,
703,5060002437,ROH,Tubing,,,,,,,,,,,,,,,,
703,5060002761,ROH,Solenoid/Pot Harness SGSX365,50,***,440,,5,PC,P04,5,PC,P04,5,PC,P04,No,0,
703,5060002849,ROH,Solenoid/Pot Harness SGSX456,50,***,440,,5,PC,P04,5,PC,P04,5,PC,P04,No,0,
703,5060002886,ROH,"Wire Lead Black 8""                      ",50,51,440,,5,PC,P04,5,PC,P04,5,PC,P04,No,0,
703,SGSP365TS,YSAP,"36"" 5 Burner Gas Cooktop",,,,,,,,,,,,,,,,
703,SGSP305TS,YSAP,"30"" 5 Burner Gas Cooktop",,,,,,,,,,,,,,,,
703,5060003413,ROH,Manual,,,,,,,,,,,,,,,,
703,5060003420,HALB,Maintop,,,,,,,,,,,,,,,,
703,5060003430,ROH,Element Harness 3430,50,50,1,,5,PC,P14,0,PC,,0,PC,,No,0,
703,5060003457,ROH,Knob - Cap Bosch Cooktop -Dark Brown,,,,,0,PC,,0,PC,,0,PC,,No,0,WUn
703,5060003472,ROH,Knob,,,,,,,,,,,,,,,,
703,5060001779,ROH,"Glass Curved/Thermador-CET30""/Black     ",0SV,***,4,,140,PC,P04,0,PC,,0,PC,,No,0,
703,5060001871,HALB,Frame Externa/Small Electronic Housing,0SV,***,1,,100,PC,P04,0,PC,,0,PC,,No,0,
703,5060001875,HALB,"Profile Front and Back for 45""          ",0SV,***,1,,900,PC,P04,0,PC,,0,PC,,No,0,
703,5060001906,ROH,"Connector Cable/Potsensing/Sizing 36""45""",50,50,1,,1,PC,P14,0,PC,,0,PC,,No,0,
703,5060001908,ROH,Bracket Motor VTN1000Q,50,50,1,,1.2,PC,P14,0,PC,,0,PC,,No,0,
703,5060002440,ROH,Tubing,,,,,,,,,,,,,,,,
703,5060002441,ROH,Tubing RR SGS/X 30,50,***,440,,1.5,PC,P04,1.5,PC,P04,1.5,PC,P04,No,0,
703,5060002445,ROH,Tubing LR SGS 30,0SV,***,1,,2,PC,P04,0,PC,,0,PC,,No,0,
703,5060002439,ROH,Tubing,,,,,,,,,,,,,,,,
703,5060002442,ROH,Tubing RF SGS/X 30,50,***,440,,1.5,PC,P04,1.5,PC,P04,1.5,PC,P04,No,0,
703,5060002451,ROH,Tubing Sol (LF)to Jet Holder SGSX 45,50,***,1,,1.5,PC,P04,0,PC,,0,PC,,No,0,
703,5060002846,ROH,Solenoid/Pot Harness SGSX304,50,50,440,,10,PC,P04,10,PC,P04,10,PC,P04,No,0,
703,5060002876,ROH,Grate SGS/X Left Blk,,,,,0,PC,,0,PC,,0,PC,,No,0,
703,5060002835,ROH,Halogen Power Harness,50,***,1,,5,PC,P04,0,PC,,0,PC,,No,0,
703,5060002877,ROH,Grate SGS/X Right Blk,,,,,0,PC,,0,PC,,0,PC,,No,0,
703,5060002880,ROH,Grate SGS/X Center Left Blk,,,,,0,PC,,0,PC,,0,PC,,No,0,
703,SGSXP305TS,YSAP,"30"" 5 Burner Gas Cooktop",,,,,,,,,,,,,,,,
703,5060003473,ROH,Knob,,,,,,,,,,,,,,,,
703,5060003479,ROH,Assy,,,,,,,,,,,,,,,,
703,5060003494,ROH,CAF 99 AXAD Black,,,,,,,,,,,,,,,,
703,5060003495,ROH,OFFAL 20ga Alumz (A463)T-1,,,,,0,PC,,0,PC,,0,PC,,No,0,
703,5060003501,ROH,Bracket,,,,,,,,,,,,,,,,
703,5060002013,ROH,Box,,,,,,,,,,,,,,,,
703,5060002026,ROH,Plug 20x20x13,50,***,1,,49.08,PC,P04,0,PC,,0,PC,,No,0,
703,5060002064,ROH,"Aluminum Foil Tape(Nashua 324A) 3""x60yds",0SV,***,1,,5,,,,,,,,,,,
703,5060001894,ROH,PRIMER 131,100,***,440,,300,,,,,,,,,,,
703,5060001895,ROH,Thinner #15,50,***,1,,12.8,ML,P04,0,ML,,0,ML,,No,0,
703,5060001897,ROH,Connector Board,50,50,1,,10.4,PC,P14,0,PC,,0,PC,,No,0,
703,5060002002,ROH,Brkt,,,,,,,,,,,,,,,,
703,5060002468,ROH,Knob SGS/X Blk,50,50,1,,10,PC,P14,0,PC,,0,PC,,No,0,
703,5060002516,ROH,Venturi 13.7mm,50,***,440,,3,PC,P04,3,PC,P04,3,PC,P04,No,0,
703,5060002515,ROH,Venturi 10.7mm,0SV,***,1,1,10,PC,P04,10,PC,P04,10,PC,P04,No,0,
703,5060002529,ROH,Insert,,,,,,,,,,,,,,,,
703,5060002536,ROH,Insert,,,,,,,,,,,,,,,,
703,5060002545,ROH,Shrink Sleeving,,,,,0,MM,,0,MM,,0,MM,,No,0,
703,5060002881,ROH,Grate SGS/X Center Right Blk,,,,,0,PC,,0,PC,,0,PC,,No,0,
703,5060002899,ROH,"#14x3"" FH PH Wood SC STL Zinc           ",,,,,0,PC,,0,PC,,0,PC,,No,0,
703,5060002888,ROH,"Wire Lead White 36""                     ",50,51,440,,5,PC,P04,5,PC,P04,5,PC,P04,No,0,G
703,SGSXP365TS,YSAP,"36"" 5 Burner Gas Cooktop",,,,,,,,,,,,,,,,G
703,5060003570,ROH,Filter,,,,,,,,,,,,,,,,
703,5060003571,ROH,Filter,,,,,,,,,,,,,,,,
703,5060003573,ROH,Counter Trim,,,,,,,,,,,,,,,,
703,5060003579,ROH,Snorkel,,,,,,,,,,,,,,,,
703,5060002020,ROH,Brkt,,,,,,,,,,,,,,,,
703,5060001917,ROH,Collar Exhaust VTN30RQ ref,,,,,0,PC,,0,PC,,0,PC,,No,0,
703,5060002029,ROH,Scroll VTN30RQ,50,50,1,,1,PC,P14,0,PC,,0,PC,,No,0,
703,5060002084,ROH,"Carton Bottom 45""                       ",0SV,***,12,,120,PC,P04,0,PC,,0,PC,,No,0,
